rank,region_id,region_name,province_name,district_name,hospital_code,hospital_name,hospital_type,masks,encounters,citizens,masks_per_citizen,answered,unanswered,answered_pct,median_reply_hours,p90_reply_hours,oldest_unanswered_days,matched,unmatched,match_rate_pct,masks_prior_90d,masks_recent_90d,change_90d_pct,share_pct,first_date_be,last_date_be,status_pending,status_in_progress,status_completed,status_no_error_found,status_not_recorded,status_unexpected_code,action_none_yet,action_data_corrected,action_other,action_not_recorded,action_unexpected_code
1,2,เขตสุขภาพที่ 2,พิษณุโลก,บางระกำ,11252,โรงพยาบาลบางระกำ,โรงพยาบาลชุมชน,39,39,12,3.25,0,39,0.0,,,9.7,39,0,100.0,5,2,-60.0,7.16,25620204,25690713,0,0,0,0,39,0,0,0,0,39,0
2,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,77750,ศูนย์สุขภาพชุมชนเมืองเขื่อนขันธ์,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),34,34,16,2.12,0,34,0.0,,,9.6,34,0,100.0,3,3,0.0,6.24,25660425,25690531,5,0,0,0,29,0,5,0,0,29,0
3,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,07495,โรงพยาบาลส่งเสริมสุขภาพตำบลบึงพระ,โรงพยาบาลส่งเสริมสุขภาพตำบล,32,32,19,1.68,0,32,0.0,,,9.6,32,0,100.0,0,2,,5.87,25661207,25690707,4,0,0,0,28,0,4,0,0,28,0
4,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,07490,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกร่าง,โรงพยาบาลส่งเสริมสุขภาพตำบล,30,30,12,2.5,0,30,0.0,,,10.0,30,0,100.0,4,5,25.0,5.5,25660727,25690626,3,0,0,0,27,0,3,0,0,27,0
5,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,10676,โรงพยาบาลพุทธชินราช,โรงพยาบาลศูนย์,28,28,23,1.22,2,26,7.1,41.5,81.3,9.6,28,0,100.0,2,6,200.0,5.14,25630515,25690801,3,1,1,0,23,0,3,0,2,23,0
6,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,07491,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลอง,โรงพยาบาลส่งเสริมสุขภาพตำบล,27,27,11,2.45,0,27,0.0,,,8.6,27,0,100.0,0,1,,4.95,25650621,25690724,4,0,0,0,23,0,4,0,0,23,0
7,2,เขตสุขภาพที่ 2,พิษณุโลก,บางกระทุ่ม,07550,โรงพยาบาลส่งเสริมสุขภาพตำบลนครป่าหมาก,โรงพยาบาลส่งเสริมสุขภาพตำบล,26,26,2,13.0,0,26,0.0,,,7.0,26,0,100.0,0,0,,4.77,25620103,25690105,0,0,0,0,26,0,0,0,0,26,0
8,2,เขตสุขภาพที่ 2,พิษณุโลก,บางระกำ,07536,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านชุมแสง,ศูนย์บริการสาธารณสุข อปท.,26,26,1,26.0,0,26,0.0,,,9.3,26,0,100.0,0,0,,4.77,25641230,25681016,0,0,0,0,26,0,0,0,0,26,0
9,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,07478,โรงพยาบาลส่งเสริมสุขภาพตำบลวัดจันทร์,โรงพยาบาลส่งเสริมสุขภาพตำบล,21,21,15,1.4,0,21,0.0,,,9.6,21,0,100.0,2,0,-100.0,3.85,25661107,25690217,0,0,0,0,21,0,0,0,0,21,0
10,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,77610,ศูนย์สุขภาพเมืองพิษณุโลก,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),20,20,16,1.25,0,20,0.0,,,8.9,20,0,100.0,0,3,,3.67,25620402,25690604,0,0,0,0,20,0,0,0,0,20,0
